pyear,inventor_id,assignee_id,appln_id,log_novelty,log_novelty_low,log_novelty_hi,fok,fok_low,fok_hi,bt,bt_low,bt_hi,fail,fail_low,fail_hi,log_cit_10,log_cit_10_low,log_cit_10_hi
1986,4665,662,6501,0.9231929135381377,0.9012129466404345,0.9451728804358409,0.8255852886373205,0.8228246626408513,0.8283459146337897,0.014338112704234745,0.011881473801961038,0.01679475160650845,0.258864065799711,0.2498126572618369,0.26791547433758506,2.0906883206724927,2.070320720601728,2.1110559207432575
1987,5477,773,7538,0.9366455229647086,0.915661137440464,0.9576299084889532,0.8338618283950123,0.8314938424636393,0.8362298143263853,0.019350637268583125,0.01674630283097169,0.02195497170619456,0.24839519955344683,0.24022639294846598,0.25656400615842767,2.15195586328186,2.133294516692426,2.1706172098712937
1988,6624,821,8800,0.8778743862514132,0.8594695168943951,0.8962792556084314,0.8343618744086886,0.83212939853464,0.8365943502827372,0.01364870104691741,0.011645965023849467,0.015651437069985355,0.2550601008142691,0.24753618166868013,0.2625840199598581,2.168800717142455,2.1517971750010854,2.1858042592838243
1989,8013,1003,10661,0.7882589536983974,0.7726105744336703,0.8039073329631244,0.832848902125333,0.830825270026064,0.8348725342246021,0.0183143337693889,0.01624002557451419,0.020388641964263605,0.23254220394941755,0.22600684209333494,0.23907756580550016,2.290983332006808,2.2748324014880517,2.3071342625255644
1990,9489,1228,12581,0.7825052720673078,0.768418050334524,0.7965924938000916,0.8356548221650923,0.8338326082261175,0.8374770361040672,0.02318631492168178,0.021068935922699924,0.025303693920663634,0.2185181368507832,0.21270406941781203,0.22433220428375436,2.413649483822912,2.398699818225371,2.4285991494204526
1991,10910,1473,13863,0.7746250567163626,0.7612592479155417,0.7879908655171836,0.8307307782857717,0.8290075920318934,0.8324539645396499,0.027671057446030004,0.025496751374538194,0.029845363517521813,0.21633735821441638,0.21087938340468174,0.22179533302415103,2.531512884147225,2.5173202457876105,2.5457055225068395
1992,13371,1915,16956,0.7261288198530832,0.7146366155631243,0.7376210241430421,0.8223323613446827,0.820770247233427,0.8238944754559384,0.02669462908328298,0.02481101351037148,0.028578244656194476,0.20072512707496534,0.19604449269977703,0.20540576145015366,2.654305122131741,2.641757808191136,2.6668524360723462
1993,15930,2425,20502,0.7376530791026709,0.7270706943329546,0.7482354638723872,0.824852388267656,0.823470408086894,0.8262343684484179,0.03116943309869355,0.0293362364871432,0.0330026297102439,0.18608962660409606,0.18198408883410566,0.19019516437408646,2.7325796311382997,2.7212095948329007,2.7439496674436987
1994,19447,3098,25320,0.6985687233474692,0.6892976659831184,0.7078397807118201,0.8150029029369035,0.8137071249522334,0.8162986809215735,0.028071537881729516,0.026524259542430786,0.029618816221028247,0.18078618578835567,0.177181234112823,0.18439113746388835,2.776464876608415,2.76630290858884,2.78662684462799
1995,23168,3924,31616,0.6786013215299241,0.6704291324895773,0.686773510570271,0.8039258999527855,0.8027292429584965,0.8051225569470746,0.03192301546437512,0.03047115814303582,0.033374872785714424,0.1846492551888216,0.18144473469430952,0.1878537756833337,2.780906857902147,2.771734104238526,2.790079611565768
1996,25354,4034,36135,0.6317070099024273,0.6243514307020666,0.6390625891027881,0.8047700413979315,0.8036142749643919,0.8059258078314712,0.03265044814340589,0.031290474436332844,0.034010421850478936,0.18902810804219256,0.18603198036732993,0.19202423571705518,2.764367216482795,2.755789828545872,2.7729446044197177
1997,29920,4312,43965,0.5700801346167206,0.5638007731017949,0.5763594961316463,0.8057860448335117,0.8047736426711102,0.8067984469959132,0.02691124117540578,0.025809407056304037,0.02801307529450752,0.18928377481445724,0.1866165215760372,0.19195102805287728,2.7253278003713186,2.7177265289682517,2.7329290717743855
1998,31680,4192,46131,0.5535588327442246,0.5475997521585126,0.5595179133299365,0.8161040182606785,0.8151409722974672,0.8170670642238897,0.024503658453192315,0.023480640938605645,0.025526675967778984,0.20183036630120124,0.1991745646524829,0.20448616794991958,2.639344254584209,2.63198841869485,2.6467000904735682
1999,33460,4131,47892,0.5382319747717365,0.5323802475808938,0.5440837019625792,0.8152372279448266,0.8143100523427184,0.8161644035469348,0.021369010036794322,0.020433836582284638,0.022304183491304006,0.20096449021358123,0.1983730977590518,0.20355588266811067,2.556068370783161,2.5491995592147068,2.562937182351615
2000,33299,4085,50666,0.5103084474625367,0.504770525909955,0.5158463690151184,0.8193496817201572,0.8184524112036022,0.8202469522367122,0.020737231434152018,0.01983694966648238,0.021637513201821657,0.21494618293645845,0.21235099968586052,0.21754136618705638,2.5002999274183235,2.4935190379302825,2.5070808169063645
